Student_Name,Rating,Feedback,Sentiment
Adam Moore,4,I loved the course! It was very helpful for my career growth.,positive
Tanya Arellano MD,4,I loved the course! It was very helpful for my career growth.,positive
Rachel Wilson,3,"The course was okay, but could use some improvements.",neutral
Rebecca Ho,2,"The instructor was not engaging, and the material was hard to understand.",negative
Alejandro Barnes,5,I loved the course! It was very helpful for my career growth.,positive
Amanda Johnston,5,"Very informative and engaging, I learned a lot.",positive
Holly Holmes,3,"The course was fine, but I expected more.",neutral
Emily Nguyen,4,"The instructor was great, and the course content was very useful.",positive
Daniel Salazar,3,"Content was okay, but could be more engaging.",neutral
Daryl Tyler,4,"Great teaching style, really enjoyed the course and the content.",positive
Alexander Davis,4,"Excellent course! Learned a lot, the material was easy to follow.",positive
Brandon Gonzalez,2,"Very poorly structured course, I couldn’t follow along.",negative
Suzanne Wells,4,"Excellent course! Learned a lot, the material was easy to follow.",positive
Christopher Washington,4,"Very informative and engaging, I learned a lot.",positive
Nancy Atkinson,2,I did not find the course helpful. It lacked depth.,negative
Becky Calhoun,1,Not a good course. I felt lost throughout the content.,negative
Judy Lloyd,1,The content was outdated and not relevant.,negative
Daniel Rodriguez,2,I did not find the course helpful. It lacked depth.,negative
Michael Porter,4,"The instructor was great, and the course content was very useful.",positive
Melanie Perkins,1,The content was outdated and not relevant.,negative
Kristin Bender,4,"Great teaching style, really enjoyed the course and the content.",positive
Katrina Ross,5,"Excellent course! Learned a lot, the material was easy to follow.",positive
Jennifer Cooper,2,The content was outdated and not relevant.,negative
Marissa Hess,4,"The instructor was great, and the course content was very useful.",positive
Ralph Wilson,4,"Very informative and engaging, I learned a lot.",positive
Bob Brandt,3,"The course was fine, but I expected more.",neutral
John Santana,1,I did not find the course helpful. It lacked depth.,negative
John Gilbert,3,I found the course average. It could have been more interactive.,neutral
Alec Oconnor,3,"The course was fine, but I expected more.",neutral
James Reese,5,I loved the course! It was very helpful for my career growth.,positive
Alexa Fernandez,2,The content was outdated and not relevant.,negative
Jason Simmons,1,I did not find the course helpful. It lacked depth.,negative
Bruce Chen,1,The content was outdated and not relevant.,negative
Tracy Mueller,2,Not a good course. I felt lost throughout the content.,negative
Brian English,5,"Very informative and engaging, I learned a lot.",positive
Joel Anthony,5,I loved the course! It was very helpful for my career growth.,positive
Jason Cox,1,"Very poorly structured course, I couldn’t follow along.",negative
William Benitez,5,"Great teaching style, really enjoyed the course and the content.",positive
Maria Rios,1,The content was outdated and not relevant.,negative
Eric Shelton,1,"The instructor was not engaging, and the material was hard to understand.",negative
Kevin Luna,3,"The course was okay, but could use some improvements.",neutral
Melissa Marsh,4,"The instructor was great, and the course content was very useful.",positive
James Pearson MD,4,"Great teaching style, really enjoyed the course and the content.",positive
Wyatt Ramsey,3,I found the course average. It could have been more interactive.,neutral
Kelly Davis,2,I did not find the course helpful. It lacked depth.,negative
Kelly Morrison,5,I loved the course! It was very helpful for my career growth.,positive
Jason Green,5,I loved the course! It was very helpful for my career growth.,positive
Mark Cole,1,"Very poorly structured course, I couldn’t follow along.",negative
Nathan Hammond,5,"Very informative and engaging, I learned a lot.",positive
Sabrina Reed,4,"Excellent course! Learned a lot, the material was easy to follow.",positive
Carl Salinas,4,I loved the course! It was very helpful for my career growth.,positive
Eric Petersen,1,"Very poorly structured course, I couldn’t follow along.",negative
Christopher Hernandez,2,I did not find the course helpful. It lacked depth.,negative
Julie Pham,5,"The instructor was great, and the course content was very useful.",positive
Anthony Brady,1,"The instructor was not engaging, and the material was hard to understand.",negative
Andrea Farley,1,Not a good course. I felt lost throughout the content.,negative
Kenneth Blackburn,4,I loved the course! It was very helpful for my career growth.,positive
Miguel Abbott II,3,"The course was okay, but could use some improvements.",neutral
Samantha Wells,1,Not a good course. I felt lost throughout the content.,negative
Yolanda Jackson,3,I found the course average. It could have been more interactive.,neutral
Carmen Harper,4,"Great teaching style, really enjoyed the course and the content.",positive
Tammy Lopez,3,"It was a decent course, but not very exciting.",neutral
Sharon Mathews,3,"The course was okay, but could use some improvements.",neutral
April Ballard,2,I did not find the course helpful. It lacked depth.,negative
Marissa Sandoval,1,Not a good course. I felt lost throughout the content.,negative
Amanda West,5,"Great teaching style, really enjoyed the course and the content.",positive
Amanda Williams,3,"The course was okay, but could use some improvements.",neutral
Renee Mercer,2,Not a good course. I felt lost throughout the content.,negative
